qubits,avg_fidelity,std_fidelity,avg_runtime
1,0.476078630892294,0.2927608796428192,0.0
2,0.37376441387744236,0.13444822709340554,0.0
3,0.13447206769394898,0.12012792566325052,0.0
4,0.06542572646660934,0.062151544304460175,0.0
5,0.04323222924426341,0.03470788246890499,0.0
